index,Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency,Id_Cryptocurrency
582,71-csves/15.csv,24,TCP,,,8.9315,21.515500000000007,33.70325,484.484,37.964,0.027999999999999997,287,1204,1,136,39188,2,2,58839,4444.0,,58839,4444.0,,6.25,13.0,18.0,502.75,844.0,2843.25,mine,Etherium,4
69,20-csves/1.csv,4,TCP,,,551.347,551.347,551.347,2205.388,551.347,551.347,56,107,0,132,7418,2,2,51085,14444.0,,51085,14444.0,,14.0,14.0,14.0,450.0,1854.5,3259.0,mine,Monero,5
476,59-csves/22.csv,8,TCP,,,36.234,48.681000000000004,102.52925,718.6570000000003,260.1,0.0,438,1277,1,134,59104,2,2,56731,4444.0,,56731,4444.0,,18.5,28.5,61.0,994.0,3626.5,6933.0,mine,Etherium,4
554,68-csves/5.csv,2,TCP,,,412.819,412.819,412.819,825.638,412.819,412.819,456,1192,1,134,61554,2,2,4444,58780.0,,4444,58780.0,,221.0,228.0,235.0,20609.5,30777.0,40944.5,mine,Etherium,4
228,117-csves/1.csv,38,TCP,UDP,,57.72275,58.7375,59.588,2317.289,120.00299999999999,0.0,158,886,1,95,15040,22,21,443,80.0,48444.0,443,80.0,1900.0,3.0,4.0,5.0,96.0,128.0,216.0,not_mine,,0
168,28-csves/0.csv,4,TCP,,,241.89975,242.7435,243.58725,970.9739999999999,243.588,241.899,69,459,0,403,27869,3,3,3332,51788.0,51792.0,3332,51788.0,51792.0,15.75,16.5,18.0,493.0,6740.5,13214.75,mine,Bitcoin,1
33,5-csves/3.csv,2,TCP,,,245.157,245.157,245.157,490.314,245.157,245.157,41,484,0,362,14861,2,2,52275,3332.0,,52275,3332.0,,18.75,20.5,22.25,3964.25,7430.5,10896.75,mine,Bitcoin,1
190,28-csves/13.csv,2,TCP,,,309.47925,309.7945,310.10975,619.5889999999998,310.425,309.164,374,1299,1,134,50434,2,2,4444,55582.0,,55582,4444.0,,181.0,187.0,193.0,17036.0,25217.0,33398.0,mine,Etherium,4
546,280-csves/1.csv,78,TCP,UDP,,13.06725,75.7775,104.21799999999999,5313.853999999998,135.17,0.0,321,1108,1,73,23587,41,38,443,123.0,80.0,443,123.0,80.0,3.0,4.0,5.0,96.0,128.0,216.0,not_mine,,0
507,261-csves/0.csv,77,TCP,UDP,,0.0,19.991,46.628,2247.195,91.637,0.0,5184,141601,19,885,4592771,29,26,443,80.0,123.0,443,80.0,123.0,1.0,2.0,4.0,53.0,84.0,696.0,not_mine,,0
899,102-csves/36.csv,2,TCP,,,430.04975,430.0595,430.06925,860.1189999999999,430.079,430.04,527,1318,1,134,70890,2,2,4444,64790.0,,4444,64790.0,,255.25,263.5,271.75,23901.5,35445.0,46988.5,mine,Etherium,4
715,367-csves/1.csv,239,UDP,TCP,ICMP,0.0,0.0,0.237,1741.102,91.338,0.0,24400,709524,97,913,22291218,97,96,53,80.0,0.0,53,80.0,778.0,1.0,1.0,2.0,34.0,52.0,228.5,not_mine,,0
178,28-csves/1.csv,6,TCP,,,42.4855,52.453,121.486,472.276,144.42600000000002,39.284,275,1233,1,134,36858,2,2,4444,55582.0,,55582,4444.0,,25.0,27.5,69.0,1894.5,4717.0,5838.5,mine,Etherium,4
